salario_anual,total_dividas,historico_pagamento (score),idade,credito_solicitado,elegibilidade
19020,13980,8.052.813.883.179.230,54,15147,2
58830,21346,1.0,28,8983,3
59038,17751,7.772.729.324.121.870,42,9722,2
60054,25088,8.374.235.899.398.510,52,11258,3
55156,17372,7.019.015.377.256.090,22,14019,2
42227,20057,8.064.093.251.556.260,62,14793,3
42760,18692,6.596.908.799.201.830,48,14200,2
40758,11823,1.0,31,14428,3
65445,1498,7.454.931.031.806.220,30,24406,2
75360,39218,8.859.010.255.764.460,51,19246,3
51266,11715,8.023.037.345.455.620,51,20941,3
35177,12313,8.264.782.173.928.760,35,17321,3
45829,21983,8.423.561.619.431.270,23,15362,3
64685,9655,9.449.464.473.746.790,68,17049,3
58309,29157,900.818.529.662.512,59,16129,3
50509,22546,8.741.790.836.387.620,38,19039,3
46035,17287,9.079.679.708.764.580,57,10124,3
24673,15003,8.871.124.674.455.580,22,18623,2
46776,7995,7.223.843.884.231.130,19,15835,2
44185,23133,8.251.827.945.748.590,23,5964,3
43682,21361,9.183.805.433.524.060,67,15428,3
54224,13539,7.904.770.033.326.690,25,8468,2
76256,25240,885.713.711.462.252,19,12325,3
50296,35805,9.602.399.194.703.570,40,14204,3
58974,20146,7.806.077.490.580.320,37,7464,2
49089,17527,95.182.465.545.167,21,14731,3
49084,10393,8.394.082.838.169.950,32,15342,3
67111,18409,8.573.243.301.439.230,47,18775,3
55605,15806,9.346.456.469.393.530,37,12731,3
61684,9534,9.093.267.182.666.740,41,16372,3
68597,24512,578.108.800.315.217,26,14522,1
55443,22733,6.665.123.908.854.290,69,12908,2
53668,20763,9.031.731.997.049.230,38,6647,3
61053,16377,8.358.849.893.919.240,55,14441,3
40267,29214,6.896.888.038.736.370,58,18722,2
40524,2496,7.840.746.889.371.740,30,10331,2
38618,2968,6.803.955.574.249.360,22,13911,2
42641,22254,8.394.618.363.514.230,63,14647,3
32196,32643,975.825.139.941.263,31,20512,1
25154,21205,7.785.049.417.919.910,67,15150,1
37673,21270,8.745.726.091.398.370,24,16440,3
14717,9527,8.395.573.344.478.990,23,14956,2
54258,1444,1.0,29,12538,3
51481,10253,9.768.216.926.617.620,63,9327,3
61116,26442,6.911.064.642.657.010,68,13574,2
36012,4274,830.860.651.739.612,33,16966,3
57483,11481,761.423.102.736.203,68,15615,2
37871,4338,789.908.647.209.815,49,22397,2
61611,10947,9.285.369.099.029.540,59,19729,3
22671,31399,8.693.100.757.091.360,28,21202,1
46440,13940,9.271.511.968.061.790,21,4838,3
44013,29143,62.087.974.117.363,46,22896,2
61954,14189,9.430.444.462.160.960,69,16334,3
61730,34412,8.928.086.609.421.430,51,17044,3
68282,23490,1.0,26,19480,3
19786,15392,7.889.187.020.326.880,27,15106,2
72443,18381,9.576.109.239.439.520,25,9648,3
36115,5584,879.205.405.807.894,53,22237,2
75621,14889,8.633.047.932.870.420,49,11158,3
83355,34205,8.012.116.248.785.460,62,10071,3
67866,23593,84.054.055.057.606,23,13828,3
37140,877,7.520.695.545.383.490,23,13069,2
31332,18289,8.102.252.599.420.730,44,15019,3
39421,21680,7.909.233.432.999.170,19,14508,2
58556,27505,8.213.829.299.716.840,26,21735,3
34050,16251,831.826.869.058.561,55,17296,2
22123,18799,8.343.342.308.303.780,22,10711,1
66216,30327,8.492.169.981.168.070,51,11397,3
40994,17567,8.482.461.480.716.120,31,13059,3
63717,12713,860.806.647.834.175,27,13078,3
61574,28357,8.469.991.676.417.640,64,12426,3
52964,28544,8.229.526.392.136.370,66,9491,3
62590,1608,8.930.257.476.543.680,24,16452,3
72211,22589,9.712.387.963.805.000,37,12721,3
61462,9926,8.164.398.444.238.690,28,10240,3
61865,23999,7.965.001.723.351.310,30,17427,2
55814,29525,8.876.561.037.431.740,34,19239,3
43504,26192,8.607.773.191.302.330,54,13771,3
54624,27179,7.533.151.257.109.200,61,23907,2
53136,13396,7.748.748.479.178.840,53,26077,2
57337,15424,79.054.171.685.147,50,17484,2
55003,25926,7.463.211.415.623.340,27,12655,2
43140,20709,8.938.303.967.078.450,51,16344,3
67091,4565,9.264.741.784.725.360,62,8877,3
42091,28914,7.688.528.880.263.910,30,10640,2
55913,5365,7.139.557.673.327.300,42,6586,2
57725,23247,8.672.672.886.268.680,61,11857,3
34250,22072,8.530.820.921.051.870,50,8837,3
73427,31815,1.0,27,18120,3
49384,17642,916.751.478.627.371,69,11254,3
35095,289,7.372.730.698.931.380,41,16383,2
50005,21432,754.836.152.507.974,22,18739,2
35382,23326,8.815.354.251.336.350,27,20856,2
41300,30736,8.445.192.067.280.810,56,13232,3
41007,14720,8.389.597.631.946.780,64,16553,3
47962,27031,856.688.004.123.599,44,16712,3
70471,28970,9.275.352.280.027.640,67,21360,3
51595,12678,1.0,69,18917,3
52466,23170,9.829.429.826.944.650,53,21516,3
42844,5280,748.549.673.333.297,50,6676,2
54249,25641,7.965.410.475.496.960,45,11678,2
49503,22223,6.146.359.944.555.970,57,20159,2
48742,7613,8.710.941.613.186.720,60,17903,3
60606,16030,7.974.916.130.242.210,20,14374,2
35877,30849,8.480.601.919.368.160,48,12629,1
68997,21998,7.677.117.786.843.380,46,18943,2
9565,13172,7.666.513.808.751.060,61,5102,1
48603,12322,6.959.633.729.340.320,62,18960,2
70380,30031,8.180.791.484.791.670,69,15453,3
68101,15089,9.068.932.236.222.650,67,12555,3
52375,22206,7.826.045.743.149.840,61,17512,2
37851,15870,9.151.637.775.005.520,59,13069,3
47998,2121,780.869.688.700.947,38,15145,2
88872,13467,850.068.715.880.424,49,14768,3
60631,31379,9.855.564.225.894.030,45,18722,3
24491,41439,8.012.151.022.764.640,38,15795,1
51243,12266,872.507.918.373.071,64,5454,3
41020,23333,8.759.713.797.356.270,52,8039,3
30951,43287,8.772.827.135.825.320,47,9579,1
57239,32009,9.030.173.995.609.500,64,17282,3
35445,7877,8.746.288.956.941.380,34,17784,2
73224,17354,7.473.023.018.597.060,46,23351,2
70116,22576,8.086.531.488.091.710,65,9927,3
39055,32727,9.075.623.131.704.390,19,21546,1
38117,7967,9.204.614.539.398.880,50,5310,3
60098,27742,7.757.154.235.676.790,21,15088,2
65266,27035,9.472.582.966.937.930,66,16226,3
46225,16960,8.022.770.318.804.190,56,16207,3
64676,41441,8.832.575.043.583.920,42,13452,3
74966,10886,8.695.193.207.706.390,22,15589,3
54948,23640,7.586.934.583.902.230,21,8823,2
34564,21994,8.225.733.991.142.070,69,19325,2
61782,23760,6.456.162.755.693.370,69,16248,2
52147,31554,8.106.367.921.478.310,46,16811,3
45176,6573,9.733.622.900.737.400,54,13604,3
61275,21585,6.595.122.287.747.640,25,13360,2
68105,39695,7.631.161.271.698.500,37,17623,2
52790,27982,8.038.610.350.946.880,58,22949,3
15812,13391,6.365.066.669.191.960,23,8031,1
51797,11999,6.490.942.902.633.210,53,7779,2
53404,25177,1.0,49,16331,3
88788,15106,9.086.876.084.876.230,22,13338,3
51944,18571,9.499.575.821.788.460,57,15620,3
47430,12565,8.850.284.346.205.420,37,14881,3
60347,40739,9.079.569.921.913.130,62,18110,3
45497,23464,81.816.283.812.409,21,13569,3
39708,20527,9.542.870.498.460.590,56,8958,3
26083,3675,9.934.002.182.662.620,39,11050,3
41067,11744,7.823.508.140.887.050,50,14197,2
21383,19390,8.252.157.768.870.740,48,8725,1
54248,19402,7.919.724.619.415.770,58,14815,2
53237,36608,8.414.471.047.331.200,46,15303,3
60446,21237,924.085.291.193.518,22,13210,3
34533,30382,832.123.161.527.717,27,16046,1
28419,21792,6.753.131.014.715.020,28,6928,2
23948,6875,7.778.281.551.359.150,40,16331,2
50670,15442,894.671.898.009.751,43,15575,3
35908,15542,8.658.461.571.937.990,48,12132,3
33548,22188,8.190.775.176.700.970,32,20401,2
49763,10925,8.575.575.453.247.040,26,22626,3
54120,28923,8.974.441.948.966.380,51,8557,3
47394,7352,8.660.779.624.127.330,56,15821,3
43149,35541,9.076.982.306.551.020,34,12659,1
46992,11822,8.311.877.369.360.160,52,19627,3
49235,34422,7.470.239.454.128.420,53,14937,2
49959,12500,9.066.465.712.602.720,20,15265,3
23116,28305,8.228.983.587.379.160,57,17474,1
63108,16351,8.203.034.018.584.650,28,13512,3
28135,20805,9.246.017.337.739.160,45,23387,2
39933,26018,1.0,65,17548,3
26686,16664,6.819.767.392.293.000,45,19658,2
52509,966,8.184.349.739.493.320,63,13897,3
39341,13640,8.423.191.877.359.200,36,14385,3
47242,14944,8.609.267.960.887.010,19,19058,3
38856,37285,8.317.842.164.885.170,49,18555,1
34188,19527,8.411.436.913.027.810,61,8756,3
12350,21706,8.866.967.663.029.030,28,15638,1
41128,18843,830.503.948.657.981,33,17369,3
31848,22179,7.967.314.820.846.840,28,14348,2
57793,7622,7.937.878.926.084.090,20,16894,2
81213,13129,9.828.196.076.107.830,59,14560,3
77448,26625,1.0,46,3766,3
48783,17767,816.180.162.062.801,22,8445,3
38133,18986,8.183.022.400.205.480,45,19874,2
20752,19798,8.891.940.557.328.950,48,13778,1
43718,26880,8.633.487.714.953.710,30,15948,3
36317,13591,8.352.629.562.701.040,42,14981,3
38940,20999,7.249.979.878.521.050,23,10873,2
25517,1532,7.684.568.636.225.620,69,12664,2
60541,3881,9.191.871.152.275.580,20,16644,3
57638,17513,8.221.076.753.219.450,39,17154,3
36267,8947,1.0,58,25942,2
62837,29832,1.0,56,12611,3
50894,9318,7.582.431.421.345.780,49,23353,2
57953,18722,9.821.705.033.519.890,47,10697,3
61611,28024,8.366.572.915.869.320,24,17443,3
55474,24932,8.645.062.109.187.070,42,15889,3
37690,14552,9.202.827.247.249.890,19,14370,3
65739,16101,9.502.560.653.430.420,25,14971,3
61591,24746,7.778.859.634.037.700,67,11886,2
61810,28068,1.0,50,19519,3
30060,34969,8.779.486.643.364.080,45,10786,1
27995,28052,6.523.369.817.241.330,27,16587,1
72692,26853,8.238.190.934.099.200,55,18779,3
40428,23426,1.0,35,21921,2
53786,21208,7.908.585.967.011.600,30,19858,2
68095,16290,1.0,38,17862,3
74494,24984,8.623.880.214.725.920,50,11811,3
58612,17635,8.495.908.153.859.280,40,11071,3
42168,26964,7.450.962.209.069.400,18,9307,2
45700,27223,911.695.296.106.832,61,8828,3
55560,24702,8.172.749.100.951.530,57,14992,3
52623,13777,8.480.242.034.342.380,38,11362,3
39260,19117,8.288.290.561.072.510,22,20996,2
10201,30838,9.342.233.096.963.300,52,12105,1
38961,2930,8.295.273.324.490.680,35,15471,3
46805,21900,5.990.973.135.343.900,55,13676,1
49855,27570,7.652.954.143.069.070,53,7980,2
75600,24346,7.181.046.482.494.680,64,20447,2
66006,40693,9.982.428.337.109.350,46,18477,3
43075,3881,9.097.600.121.920.980,43,19052,3
57556,8163,854.795.786.905.194,53,17974,3
10031,21823,8.304.495.456.592.400,55,11202,1
68391,29319,7.084.968.911.584.530,67,11299,2
42554,20573,8.274.263.810.888.640,35,17259,3
52807,33179,9.452.777.489.826.890,46,22714,3
50447,14227,9.318.650.584.773.610,48,16929,3
65393,17271,8.928.478.643.916.020,59,19892,3
44769,27626,7.108.570.662.666.350,30,12370,2
62343,16462,7.767.545.608.645.150,69,20489,2
55470,29368,887.210.971.899.505,67,12902,3
51838,26947,7.351.976.843.743.040,47,16200,2
48378,15836,9.221.780.683.690.000,24,13169,3
42359,22995,7.168.496.229.474.740,57,19445,2
47512,15219,7.397.293.651.188.380,23,19513,2
44265,11077,717.537.615.209.743,19,7616,2
56282,16086,8.005.722.290.436.470,25,21626,3
32983,18205,6.979.033.080.924.390,27,26882,2
51081,21117,8.013.778.054.720.520,66,13223,3
72743,18913,7.588.819.271.184.560,61,14365,2
43401,2449,781.524.257.958.243,60,21197,2
56574,29908,9.169.103.911.756.740,66,15333,3
15150,2977,8.489.420.813.254.750,65,14980,2
26288,21888,9.168.260.365.947.740,39,24484,1
48004,12590,1.0,27,8228,3
48870,21460,6.812.010.153.911.250,69,11055,2
50620,17758,7.955.019.706.430.860,52,17089,2
82861,23477,7.470.774.476.758.220,36,6902,2
41256,25204,7.804.602.064.603.800,21,13134,2
51266,30379,8.876.590.276.684.720,36,13089,3
39254,27731,1.0,58,19808,2
61053,20413,9.144.404.392.324.100,37,18464,3
32744,29432,8.985.212.831.836.830,66,6583,1
39514,14911,9.540.475.799.089.690,21,11534,3
36477,36809,9.991.898.061.949.130,66,11549,1
62355,14056,1.0,43,13917,3
51889,15302,89.870.565.648.768,20,9512,3
54252,1830,7.537.723.025.119.560,69,17258,2
47091,13322,8.160.547.284.010.020,47,11529,3
68138,17329,6.449.855.980.022.670,53,17943,2
47676,17276,9.266.320.893.703.490,58,14985,3
79479,36829,7.648.367.270.306.110,23,10134,2
69041,25849,7.783.437.417.995.380,68,21941,2
27862,29390,885.361.585.598.778,56,22088,1
59578,20001,6.552.097.104.751.390,44,16451,2
69017,12989,9.531.869.873.791.990,33,13803,3
43883,41788,9.055.389.711.403.080,64,9718,1
56171,18990,806.687.737.448.763,33,20355,3
27831,26444,8.450.872.793.164.380,63,19113,1
35059,10524,7.829.107.355.575.290,53,10930,2
46225,8293,1.0,51,11565,3
29683,34958,7.583.048.828.642.700,56,17284,1
50827,24325,8.822.829.294.761.280,41,9122,3
59755,17775,8.237.001.160.134.840,56,11871,3
36261,18113,8.553.930.651.061.890,23,9797,3
29892,9648,9.012.595.872.778.710,37,9958,3
26316,14389,9.051.542.803.699.350,26,11399,3
68186,24257,8.143.052.371.430.440,66,19530,3
23869,20456,7.337.866.981.262.460,38,6227,1
54436,27528,7.767.907.656.739.520,28,17167,2
69588,7407,8.039.378.493.339.080,65,16289,3
35330,21743,7.903.274.395.153.190,47,19841,2
37340,27798,745.821.943.820.351,18,16285,2
52635,2061,8.948.084.038.357.370,44,13105,3
53610,9659,7.144.270.257.974.640,65,10923,2
42523,5539,8.448.590.166.085.140,66,19952,3
45544,32965,6.867.866.262.638.120,23,17484,2
51362,20720,9.591.048.971.915.980,60,12534,3
43939,21411,7.885.210.260.877.640,24,19544,2
44443,31344,777.239.523.644.184,65,12770,2
79135,18891,7.604.403.476.215.530,39,14995,2
65201,13501,1.0,51,11977,3
66379,21712,9.827.456.593.661.500,37,17669,3
44884,24302,8.554.359.989.541.110,62,10029,3
24218,8691,7.998.039.174.088.340,62,13507,2
87141,35664,1.0,32,11727,3
40748,1067,8.997.683.253.115.810,64,16318,3
54639,23264,8.244.756.626.159.310,26,16942,3
61755,36737,7.938.949.206.680.220,35,9479,2
41293,21210,9.317.795.966.232.220,63,17032,3
63522,548,8.279.431.216.395.660,63,7616,3
50135,34865,7.161.102.509.689.570,53,25959,2
46047,15187,8.671.894.660.901.940,63,12442,3
41286,27808,8.738.744.095.599.830,59,20246,3
35051,24189,8.544.344.308.714.750,47,16005,3
22057,19837,9.005.181.319.973.510,28,16208,1
92206,589,8.176.504.715.771.850,50,9169,3
71860,24069,8.507.015.025.013.910,63,19217,3
51544,27381,849.002.454.291.974,57,15243,3
73400,3990,7.161.142.321.669.470,23,17350,2
71438,36745,92.027.802.568.745,60,14546,3
58948,16138,9.050.209.902.468.950,63,15650,3
44825,38164,9.489.224.609.019.250,56,10564,1
66112,26670,7.490.863.917.736.060,39,14235,2
63629,20236,8.077.346.809.985.640,56,12900,3
61867,21047,9.609.096.740.678.950,36,11472,3
44941,29848,7.923.837.688.897.960,39,15672,2
55684,35279,1.0,48,16816,3
54101,10281,6.940.577.832.674.430,59,16253,2
44289,14014,7.934.695.232.527.810,42,14488,2
55549,36580,8.035.136.692.800.680,58,17055,3
68791,11178,9.263.736.122.443.680,67,16210,3
72883,20221,1.0,66,15487,3
57491,13127,8.803.907.394.800.040,47,15830,3
47509,27392,5.879.188.894.664.750,62,20915,1
62820,4636,8.418.982.864.775.620,21,8974,3
36918,27346,8.623.132.669.211.360,43,13407,3
44343,31603,8.893.114.405.928.420,24,16690,3
69127,26574,8.421.431.192.274.020,57,7086,3
78076,11685,9.806.374.730.108.420,65,21912,3
67098,15433,7.611.722.329.899.080,29,16274,2
48776,13225,7.469.239.809.724.800,18,19784,2
17154,26517,7.887.632.642.456.290,23,20598,1
61759,19754,1.0,18,17062,3
57855,28788,832.014.500.868.225,25,3837,3
58286,17787,964.880.633.937.411,61,15738,3
28489,17281,9.629.995.963.584.050,65,16059,2
45040,36001,6.781.124.196.581.800,50,9565,2
77979,13095,8.443.462.474.225.780,21,6051,3
34641,26465,9.620.218.497.957.600,68,17308,3
58675,27840,1.0,67,8754,3
40156,43713,9.578.357.995.851.760,57,25307,1
57612,36556,815.756.952.082.313,23,16315,3
47015,25490,9.960.238.679.137.340,62,21757,3
68097,27097,8.068.818.984.544.810,69,15155,3
50618,32618,7.368.521.314.189.220,20,18757,2
64920,13584,9.199.830.372.076.260,32,15266,3
81668,37614,7.047.866.377.737.790,23,20027,2
64791,19688,7.904.539.533.877.940,23,4808,2
58648,26817,9.986.740.318.360.200,54,19440,3
67359,23614,9.212.334.623.456.840,68,18343,3
58439,12429,7.636.045.238.521.850,44,14229,2
40880,16190,864.035.445.710.901,59,12954,3
37311,12026,8.404.905.578.136.450,58,13504,3
60352,22192,9.407.338.063.128.760,63,16413,3
40620,4681,8.879.994.106.105.200,22,21070,2
39164,10110,8.654.769.332.014.460,56,12329,3
47140,15566,8.463.452.830.541.470,34,6491,3
24108,18422,7.400.172.378.336.560,40,27422,2
40191,34558,9.880.153.373.448.660,34,18357,1
38966,29949,8.918.833.741.664.480,58,13043,3
86929,18826,8.171.519.730.264.800,40,20944,3
61266,38144,8.244.163.647.105.710,56,19668,3
43679,23356,839.786.342.945.076,50,17461,3
38496,26741,7.677.716.095.357.510,19,12614,2
13430,1088,7.932.206.657.927.610,27,18336,2
28030,10582,9.483.176.806.265.670,36,20447,2
25098,30476,6.935.224.990.071.240,57,6399,1
35349,26547,1.0,26,16122,3
49844,37952,8.503.806.673.897.320,32,16490,3
47182,37175,7.708.521.355.614.650,60,16330,2
36605,14692,8.154.073.576.328.190,41,15230,3
49236,31511,8.920.989.440.601.070,29,20930,3
28502,10174,8.018.896.828.137.340,39,13943,3
56662,4119,9.159.479.151.592.630,35,14986,3
61459,23190,7.437.723.954.493.120,19,16578,2
57393,27653,7.702.485.651.347.650,32,14109,2
66408,23347,874.436.492.074.101,59,8069,3
27239,29561,7.879.956.697.693.680,56,16070,1
50596,14183,1.0,26,16127,3
35708,30188,932.937.236.443.269,39,13174,1
32722,14800,9.012.154.301.742.120,34,14338,3
28780,43888,8.611.424.548.336.400,31,899,1
87176,28560,815.321.645.886.664,48,21042,3
63669,35773,8.243.981.155.266.520,58,19505,3
74337,7555,7.665.005.405.852.370,24,8310,2
55291,15792,8.712.005.165.796.480,64,11622,3
37581,19142,7.254.121.415.950.210,52,22242,2
60077,8383,995.834.670.296.037,51,9225,3
85140,36146,8.561.021.623.798.340,20,17392,3
57870,20567,9.869.763.461.265.740,19,12539,3
48311,4904,9.393.246.844.994.430,62,17050,3
54073,15033,8.430.697.592.734.310,44,15250,3
66731,8766,8.945.956.325.867.570,62,13583,3
49759,27451,807.384.328.328.249,19,16942,3
48248,26070,8.403.745.004.711.700,69,12534,3
39835,26476,7.723.900.227.715.760,68,6078,2
73246,30038,8.321.508.664.843.190,43,12902,3
52416,973,8.828.846.263.122.270,27,19177,3
81559,37736,7.984.484.315.583.230,54,18571,2
69329,4774,7.901.118.851.655.470,35,10598,2
37773,30208,8.404.251.039.747.550,44,10181,3
44538,28441,7.664.522.431.980.170,34,17240,2
33466,35652,8.132.390.584.312.710,27,12062,1
39956,12855,9.214.470.524.625.650,28,9771,3
26542,20420,9.201.825.285.373.840,64,23584,2
36145,8483,799.729.555.656.441,41,10168,2
34473,19386,8.270.696.691.806.300,36,7382,3
63222,18975,657.486.662.208.006,61,11081,2
25691,35536,6.829.733.968.706.730,33,16158,1
83388,25375,7.985.550.735.426.010,40,15367,2
45173,19661,8.543.757.648.002.170,29,24436,2
70206,19531,722.919.794.284.113,36,11158,2
35537,15408,9.203.831.023.758.170,42,16180,3
61672,17609,9.351.229.204.171.270,20,20642,3
27973,20821,765.692.068.847.036,30,11704,2
27889,39388,7.612.885.812.253.970,38,18518,1
66417,24017,8.911.465.908.149.270,39,5839,3
48171,9646,1.0,64,23793,3
47026,46080,8.082.452.544.149.720,46,19973,1
34950,30344,9.436.439.222.676.890,66,11596,1
36931,29719,8.473.524.475.262.150,60,19149,1
26059,17839,8.561.153.158.290.330,42,21565,2
42150,27975,8.312.167.393.788.090,40,8556,3
53843,23043,9.436.352.807.694.960,29,12000,3
51188,6407,1.0,66,21730,3
51346,24536,9.354.924.917.359.220,40,15337,3
19204,7450,7.320.418.216.376.670,22,17180,2
52950,22980,8.245.777.400.548.560,46,15350,3
45217,23913,6.552.888.971.908.820,22,19457,2
38210,10876,1.0,56,17564,3
31473,21175,8.852.034.480.186.340,52,15531,3
59959,25944,7.697.547.249.679.410,52,4491,2
18108,14874,8.762.375.517.038.790,34,18200,1
31499,24571,1.0,47,18646,2
52206,32723,7.663.827.697.343.380,19,8802,2
42288,28421,7.929.743.843.884.530,32,9142,2
55672,16900,7.326.486.237.812.700,68,17587,2
51445,34531,9.067.153.614.456.430,40,15971,3
39811,27529,8.360.466.691.905.150,59,5126,3
24608,18308,634.175.431.680.745,43,10889,2
61297,13832,8.837.484.009.154.860,28,16569,3
47406,26187,9.449.545.061.910.080,41,18383,3
30269,30853,796.730.432.101.496,26,12078,1
18510,31340,8.454.591.186.122.710,31,14262,1
54988,26163,8.298.126.498.340.110,41,10603,3
40469,16590,9.187.448.351.039.650,24,21619,2
32815,25681,6.843.814.908.024.890,27,15872,2
67671,11391,784.324.139.119.635,50,11661,2
21875,22900,8.193.891.761.557.020,50,9218,1
46253,37983,9.270.690.862.935.100,63,8665,1
60870,9925,8.502.239.306.554.180,44,24057,3
57329,14465,7.190.842.956.494.920,25,14132,2
30448,29467,7.924.198.757.703.160,31,13002,1
69759,11236,9.759.769.186.009.760,24,13933,3
71298,35347,7.176.872.666.295.490,35,11848,2
65366,29761,9.527.586.216.354.090,43,14464,3
36999,30178,9.435.817.635.301,58,15174,1
46620,31378,9.718.899.500.565.820,32,15075,3
68871,7075,9.599.892.163.259.250,50,8687,3
56661,9183,9.862.579.684.118.280,28,19462,3
40426,33201,6.704.754.023.677.970,36,12235,1
46808,16930,9.808.931.218.928.650,59,11706,3
27128,19277,8.995.087.853.810.140,35,11480,3
67238,27078,7.927.949.133.725.820,39,9737,2
48471,21513,7.319.470.635.689.350,53,16338,2
76144,30806,8.530.285.133.386.730,35,19474,3
22610,25784,1.0,35,11385,1
35427,18022,90.215.467.370.083,39,5784,3
49207,19050,8.014.320.527.271.040,42,9864,3
83920,22583,1.0,69,12758,3
51165,23899,9.145.470.206.353.360,61,8842,3
38603,28047,9.177.587.642.942.860,48,12006,3
50266,21655,8.790.019.767.327.820,26,12242,3
39862,19154,9.014.440.783.992.000,67,14922,3
64194,18199,6.033.911.846.930.540,55,7725,2
62920,15678,865.323.224.510.068,36,17900,3
74153,36048,9.295.963.801.028.910,69,23304,3
25367,11267,1.0,42,22145,2
22924,7395,1.0,32,12079,2
46506,28913,9.604.626.715.936.390,22,18343,3
62237,24813,8.712.443.384.760.130,28,17751,3
65369,40644,8.570.412.360.087.610,30,14782,3
53601,19165,7.801.898.158.910.270,51,15885,2
62210,19710,9.046.192.716.423.500,25,18415,3
72724,11763,1.0,42,19416,3
38183,21007,813.081.133.812.498,44,10941,3
72006,2662,8.685.813.069.107.540,28,18738,3
72463,1122,7.791.836.767.025.600,35,23332,2
41720,14566,9.538.232.046.508.030,27,19410,3
35762,20663,974.802.256.061.236,50,22682,2
61367,14130,780.736.134.893.377,53,2082,2
79859,14214,9.084.310.755.972.110,34,17978,3
37333,4916,586.663.376.913.783,66,16321,1
78804,26315,8.228.177.438.027.760,22,20135,3
35592,12873,9.784.903.321.737.720,40,9371,3
46700,36595,8.031.656.434.093.940,20,12469,3
33058,19307,7.199.589.279.511.790,56,19502,2
56461,9485,9.190.358.084.888.860,54,9701,3
52034,3057,8.390.352.972.095.660,27,16211,3
50745,7718,8.696.593.591.173.870,44,14915,3
40584,19366,8.838.109.895.979.640,24,14020,3
43591,3763,9.409.736.288.915.510,66,17863,3
49002,12074,9.581.834.260.230.780,46,9422,3
46084,14678,888.722.100.181.192,66,11099,3
49359,12598,9.677.899.351.290.020,56,14303,3
27552,14154,8.481.034.239.866.210,23,8994,3
17736,15346,8.819.806.187.054.270,26,21154,1
55204,12148,8.533.144.420.915.700,25,11006,3
55693,34699,7.327.048.287.884.270,31,18931,2
53515,13832,9.989.527.450.384.830,55,10622,3
57916,6281,8.560.103.234.089.110,26,18520,3
43209,3637,1.0,69,6955,3
44724,26019,8.965.027.771.713.190,28,22043,3
42828,24504,8.926.764.784.334.990,28,20675,3
22848,14748,9.450.512.922.445.300,57,12237,2
58621,5886,8.798.578.599.660.360,52,10871,3
61780,27114,7.886.307.008.923.080,28,17289,2
63977,4128,8.366.102.394.161.850,53,7369,3
45338,23736,967.600.473.140.825,20,15173,3
39237,15708,922.328.877.847.653,62,10962,3
42942,24996,7.652.465.913.976.300,36,13728,2
42267,14934,8.807.475.853.497.930,25,11780,3
19948,34602,752.515.214.054.612,45,11008,1
54457,1551,8.599.513.784.156.490,18,23523,3
62654,25753,9.520.017.693.215.460,57,18902,3
53249,16538,7.901.443.901.622.660,47,7600,2
50338,12961,8.405.064.212.487.350,58,10620,3
40591,32551,7.566.797.218.022.630,55,19287,1
61430,9823,9.110.908.715.155.970,28,19843,3
48684,22341,8.646.604.576.533.040,46,8074,3
31718,21220,7.860.026.336.254.020,48,18493,2
69847,7696,8.920.907.741.253.390,27,16325,3
59700,28255,8.476.392.296.369.640,52,5291,3
74823,40210,9.002.165.374.637.220,57,12984,3
67442,36196,7.576.297.645.559.840,46,14319,2
40654,23971,8.175.879.377.050.730,54,15242,3
45723,17719,8.637.014.805.355.920,19,8397,3
65173,28162,9.188.972.134.107.840,65,11184,3
32370,29680,7.524.236.417.041.740,18,11885,1
74838,20909,8.614.645.234.431.360,49,12321,3
54912,3897,9.492.179.709.230.270,41,12405,3
62419,4437,8.561.791.913.853.480,19,14336,3
54844,24596,8.182.747.455.678.680,20,16548,3
50800,23246,7.961.934.829.404.510,26,23871,2
45644,15380,7.978.641.254.535.290,66,19354,2
47802,22745,8.724.436.918.895.680,41,21584,3
9938,5356,6.514.560.401.727.850,29,12596,2
58441,18208,7.952.731.257.614.560,51,9980,2
82680,16640,8.917.755.416.171.650,51,19007,3
37562,359,9.245.513.464.872.060,40,14918,3
27978,20872,7.564.173.818.612.460,36,18651,2
73531,4745,7.872.022.983.648.890,69,10588,2
55663,28758,8.574.385.561.365.220,49,18242,3
63569,23347,9.121.181.085.864.960,66,14123,3
57549,13318,8.129.906.160.144.350,45,12695,3
36089,9822,837.389.050.807.436,43,13166,3
63632,6082,8.838.854.241.404.560,66,17452,3
42605,15240,7.346.326.013.458.480,62,18870,2
37610,27725,1.0,29,13167,3
59576,16615,8.582.695.213.057.760,60,16721,3
52591,18279,8.149.738.589.146.490,48,16704,3
56197,8947,9.640.583.084.342.300,28,18691,3
55661,14949,8.627.292.111.360.620,57,19934,3
62454,17742,8.325.752.013.849.740,67,24056,3
69450,21241,8.871.956.740.061.460,21,12674,3
53173,18240,8.541.661.797.564.400,35,22300,3
71668,24487,7.884.444.855.266.720,46,15585,2
66975,26549,9.567.235.828.508.360,64,9525,3
61096,35284,7.002.334.275.632.490,56,11747,2
41378,22199,809.497.677.200.561,64,17329,3
64695,24208,1.0,48,18618,3
56413,14773,8.605.584.802.892.450,68,9918,3
29865,35386,6.914.495.982.428.840,45,11180,1
32236,15296,962.940.280.747.615,44,12334,3
31775,26020,8.215.871.773.021.450,47,10683,1
